CoordX,CoordY,Orient,HalfLen,HalfWid
422.5,472.5,-3.141592653589793,34.0,7.0
269.5,516.5,-1.5707963267948966,31.0,7.0
486.0,672.5,-3.141592653589793,34.0,7.0
411.5,713.5,-1.5707963267948966,29.0,7.0
533.5,729.5,-1.5707963267948966,37.0,7.0
144.0,842.5,-3.141592653589793,35.0,7.0
483.0,842.5,-3.141592653589793,35.0,7.0
533.5,977.0,-1.5707963267948966,69.0,7.0
412.5,1303.0,-1.5707963267948966,35.0,7.0
656.0,1335.5,0.0,42.0,7.0
969.0,1515.5,-3.141592653589793,35.0,7.0
618.5,1586.5,-1.5707963267948966,36.0,7.0
443.0,1711.5,0.0,31.0,7.0
559.0,1711.5,-3.141592653589793,39.0,7.0
564.0,1845.5,0.0,40.0,7.0
243.5,1911.5,-3.141592653589793,111.0,7.0
