CoordX,CoordY,Orient,HalfLen,HalfWid
662.5,299.0,-1.5707963267948966,102.0,9.0
1208.5,309.0,-1.5707963267948966,104.0,9.0
2325.5,240.0,-1.5707963267948966,32.0,7.0
2906.5,243.0,1.5707963267948966,34.0,7.0
2325.5,402.5,-1.5707963267948966,42.0,7.0
2906.5,398.5,-1.5707963267948966,37.0,7.0
339.0,457.5,-3.141592653589793,45.0,9.0
395.5,532.5,-1.5707963267948966,33.0,9.0
338.5,586.5,-3.141592653589793,41.0,9.0
1476.0,586.5,0.0,38.0,9.0
2325.5,690.5,-1.5707963267948966,38.0,7.0
2906.5,690.5,-1.5707963267948966,35.0,7.0
2460.5,740.5,0.0,28.0,7.0
2906.5,848.0,-1.5707963267948966,37.0,7.0
1341.5,923.0,-1.5707963267948966,40.0,9.0
2506.5,943.5,-1.5707963267948966,35.0,7.0
2700.5,943.0,-1.5707963267948966,35.0,7.0
1040.5,968.0,-1.5707963267948966,32.0,9.0
2416.0,991.5,0.0,80.0,7.0
2803.5,991.5,0.0,93.0,7.0
777.0,1080.5,-3.141592653589793,39.0,17.0
944.0,1080.5,-3.141592653589793,51.0,17.0
1116.5,1080.5,-3.141592653589793,41.0,17.0
2314.5,1422.0,-1.5707963267948966,116.0,8.0
955.0,1366.0,-3.141592653589793,46.0,13.0
3365.0,1453.0,-1.5707963267948966,41.0,22.0
2818.5,1603.5,-1.5707963267948966,36.0,8.0
2550.5,1757.5,0.0,43.0,8.0
3032.5,1761.5,0.0,39.0,12.0
2497.5,1808.5,-1.5707963267948966,40.0,8.0
2611.5,1807.5,-1.5707963267948966,39.0,7.0
2108.5,1830.5,-3.141592653589793,39.0,8.0
2949.5,1883.5,-1.5707963267948966,33.0,8.0
2245.5,1995.5,-1.5707963267948966,38.0,8.0
3068.5,2101.5,-1.5707963267948966,36.0,8.0
